chr	start	end	length	summit	tags	X.10.log10.pvalue.	fold_enrichment	FDR...
chr10	105137980	105138593	614	174	7	52.8	15.32	NA
chr10	42644416	42645383	968	669	27	77.15	9.13	0.79
chr6	162188189	162188742	554	174	8	59.88	17.82	NA
chr4	2307246	2307622	377	188	9	85.25	26.62	1.03
chr13	51791808	51792240	433	267	8	65.32	15.08	0.74
chr19	58731678	58732653	976	472	15	55	8.04	NA
chr16	47717334	47717718	385	193	8	75.05	18.38	NA
chr5	133997712	133998281	570	216	11	59.14	10.48	NA
chr17	21730549	21731638	1090	685	15	64.79	9.19	NA
chr1	108313793	108314347	555	189	7	58.81	18.16	0.78
chr7	66713702	66714183	482	285	7	50.52	14.54	0.97
chr6	102911566	102912390	825	476	17	53.89	6.13	NA
chr7	99693575	99694953	1379	285	19	54.14	6.93	0.92
chr14	21930630	21931094	465	289	7	57.91	11.83	0.78
chr7	140460467	140461015	549	221	10	51.62	9.66	0.98
chr1	204827779	204828392	614	236	10	54.94	11.73	0.85
chr22	31055016	31055701	686	486	9	68.84	24.51	NA
chr12	121813018	121813753	736	507	12	63.05	13.41	0.77
chr9	34128226	34128829	604	266	9	62.93	15.08	0.77
chr8	51449160	51449457	298	150	7	63.71	9.59	NA
chr7	152266697	152267502	806	218	13	66.03	10.72	NA
chr7	5200045	5200648	604	217	10	51.25	9.72	NA
chr20	32330916	32331273	358	179	7	51.33	14.66	0.98
chr13	53041893	53042341	449	256	7	65.63	21.79	0.74
chr4	188271660	188272266	607	340	10	51.25	11.16	NA
chr11	57336216	57336780	565	167	8	55.92	15.08	0.85
chr7	147992515	147993057	543	199	8	70.42	18.16	0.7
chr9	126707435	126708020	586	198	10	89.63	28.73	1.04
chr8	146099083	146099655	573	205	8	65.26	18.38	NA
chr3	18887631	18888098	468	210	10	80.46	19.36	NA
chr15	75296138	75296986	849	382	14	62.33	7.8	NA
chr7	76678195	76678851	657	217	12	68.53	10.06	0.62
chr10	72271427	72271869	443	225	8	50.24	14.25	NA
